File,Gaussian_Peak_Count
corone_00185_1.wav,7
corone_00187_1.wav,4
corone_00189_1.wav,4
corone_00190_1.wav,1
corone_00191_1.wav,3
corone_00192_1.wav,2
corone_00192_2.wav,3
corone_00192_3.wav,3
corone_00192_4.wav,6
corone_00192_5.wav,2
corone_00192_6.wav,2
corone_00192_7.wav,4
corone_00192_8.wav,3
corone_00194_1.wav,4
corone_00195_1.wav,4
corone_00197_1.wav,2
corone_00198_1.wav,3
corone_00198_2.wav,3
corone_00198_3.wav,1
corone_00199_1.wav,2
corone_00200_1.wav,9
corone_00202_1.wav,2
corone_00203_1.wav,5
corone_00204_1.wav,2
corone_00205_1.wav,3
corone_00206_1.wav,10
corone_00207_1.wav,3
corone_00208_1.wav,1
corone_00208_2.wav,5
corone_00209_1.wav,15
corone_00210_1.wav,7
corone_00211_1.wav,3
corone_00211_2.wav,3
corone_00211_3.wav,1
corone_00212_1.wav,1
corone_00213_1.wav,4
corone_00213_2.wav,2
corone_00214_1.wav,3
corone_00215_1.wav,3
corone_00215_2.wav,2
corone_00215_3.wav,2
corone_00216_1.wav,4
corone_00217_1.wav,5
corone_00218_1.wav,4
corone_00218_2.wav,2
corone_00219_1.wav,8
corone_00220_1.wav,3
corone_00220_2.wav,3
corone_00221_1.wav,5
corone_00221_2.wav,5
corone_00221_3.wav,6
corone_00222_1.wav,2
corone_00222_2.wav,2
corone_00222_3.wav,1
corone_00222_4.wav,1
corone_00222_5.wav,2
corone_00223_1.wav,6
corone_00224_1.wav,9
corone_00225_1.wav,6
corone_00225_2.wav,1
corone_00226_1.wav,2
corone_00227_1.wav,3
corone_00228_1.wav,5
corone_00229_1.wav,4
corone_00230_1.wav,1
corone_00230_2.wav,1
corone_00231_1.wav,1
corone_00231_2.wav,2
corone_00231_3.wav,2
corone_00231_4.wav,2
corone_00231_5.wav,1
corone_00231_6.wav,2
corone_00232_1.wav,2
corone_00233_1.wav,3
corone_00233_2.wav,3
corone_00234_1.wav,4
corone_00234_2.wav,4
corone_00235_1.wav,7
corone_00235_2.wav,5
corone_00236_1.wav,5
corone_00237_1.wav,3
corone_00237_2.wav,2
corone_00238_1.wav,3
corone_00238_2.wav,2
corone_00241_1.wav,3
corone_00241_2.wav,6
corone_00242_1.wav,2
corone_00242_2.wav,3
corone_00243_1.wav,2
corone_00244_1.wav,7
corone_00244_2.wav,5
corone_00245_1.wav,1
corone_00246_1.wav,2
corone_00246_2.wav,3
corone_00246_3.wav,2
corone_00247_1.wav,4
corone_00248_1.wav,4
corone_00250_1.wav,5
corone_00251_1.wav,5
corone_00252_1.wav,1
corone_00253_1.wav,7
corone_00253_2.wav,2
corone_00255_1.wav,4
corone_00256_1.wav,3
corone_00256_2.wav,2
corone_00258_1.wav,2
corone_00258_2.wav,5
corone_00259_1.wav,6
corone_00259_2.wav,2
corone_00260_1.wav,2
corone_00261_1.wav,4
corone_00262_1.wav,5
corone_00262_2.wav,4
corone_00262_3.wav,8
corone_00263_1.wav,2
corone_00264_1.wav,2
corone_00265_1.wav,1
corone_00266_1.wav,1
corone_00266_2.wav,6
corone_00267_1.wav,2
corone_00268_1.wav,3
corone_00269_1.wav,5
