File,Gaussian_Peak_Count
brachyrynchos_00090_1.wav,6
brachyrynchos_00090_2.wav,10
brachyrynchos_00090_3.wav,3
brachyrynchos_00090_4.wav,2
brachyrynchos_00090_5.wav,5
brachyrynchos_00090_6.wav,2
brachyrynchos_00090_7.wav,2
brachyrynchos_00091_1.wav,7
brachyrynchos_00091_2.wav,3
brachyrynchos_00091_3.wav,5
brachyrynchos_00091_4.wav,8
brachyrynchos_00091_5.wav,7
brachyrynchos_00092_1.wav,3
brachyrynchos_00093_1.wav,42
brachyrynchos_00094_1.wav,3
brachyrynchos_00095_1.wav,1
brachyrynchos_00096_1.wav,2
brachyrynchos_00097_1.wav,5
brachyrynchos_00098_1.wav,2
brachyrynchos_00098_2.wav,11
brachyrynchos_00098_3.wav,11
brachyrynchos_00098_4.wav,4
brachyrynchos_00100_1.wav,3
brachyrynchos_00100_2.wav,4
brachyrynchos_00100_3.wav,3
brachyrynchos_00100_4.wav,3
brachyrynchos_00100_5.wav,4
brachyrynchos_00103_1.wav,4
brachyrynchos_00104_1.wav,4
brachyrynchos_00106_1.wav,7
brachyrynchos_00107_1.wav,6
brachyrynchos_00108_1.wav,7
brachyrynchos_00108_2.wav,12
brachyrynchos_00108_3.wav,4
brachyrynchos_00108_4.wav,2
brachyrynchos_00108_5.wav,1
brachyrynchos_00108_6.wav,5
brachyrynchos_00108_7.wav,6
brachyrynchos_00108_8.wav,2
brachyrynchos_00108_9.wav,7
brachyrynchos_00109_1.wav,3
brachyrynchos_00110_1.wav,1
brachyrynchos_00111_1.wav,12
brachyrynchos_00111_2.wav,22
brachyrynchos_00111_3.wav,8
brachyrynchos_00111_4.wav,19
brachyrynchos_00111_5.wav,7
brachyrynchos_00111_6.wav,10
brachyrynchos_00111_7.wav,7
brachyrynchos_00111_8.wav,12
brachyrynchos_00111_9.wav,5
brachyrynchos_00112_1.wav,3
brachyrynchos_00112_2.wav,4
brachyrynchos_00112_3.wav,2
brachyrynchos_00113_1.wav,3
brachyrynchos_00113_2.wav,3
brachyrynchos_00114_1.wav,3
brachyrynchos_00115_1.wav,4
brachyrynchos_00116_1.wav,19
brachyrynchos_00116_2.wav,5
brachyrynchos_00116_3.wav,2
brachyrynchos_00117_1.wav,4
brachyrynchos_00117_2.wav,3
brachyrynchos_00117_3.wav,1
brachyrynchos_00117_4.wav,10
brachyrynchos_00117_5.wav,1
brachyrynchos_00117_6.wav,9
brachyrynchos_00117_7.wav,3
brachyrynchos_00118_1.wav,4
brachyrynchos_00118_2.wav,2
brachyrynchos_00118_3.wav,25
brachyrynchos_00118_4.wav,15
brachyrynchos_00118_5.wav,10
brachyrynchos_00119_1.wav,4
brachyrynchos_00120_1.wav,2
brachyrynchos_00120_2.wav,1
brachyrynchos_00120_3.wav,0
brachyrynchos_00120_4.wav,3
brachyrynchos_00120_5.wav,2
brachyrynchos_00121_1.wav,4
brachyrynchos_00121_2.wav,1
brachyrynchos_00122_1.wav,5
brachyrynchos_00123_1.wav,6
brachyrynchos_00123_2.wav,5
brachyrynchos_00123_3.wav,7
brachyrynchos_00123_4.wav,2
brachyrynchos_00123_5.wav,5
brachyrynchos_00123_6.wav,1
brachyrynchos_00124_1.wav,1
brachyrynchos_00124_2.wav,3
brachyrynchos_00124_3.wav,1
brachyrynchos_00125_1.wav,22
brachyrynchos_00127_1.wav,17
brachyrynchos_00127_2.wav,4
brachyrynchos_00128_1.wav,1
brachyrynchos_00129_1.wav,19
brachyrynchos_00129_2.wav,10
brachyrynchos_00129_3.wav,7
brachyrynchos_00129_4.wav,8
brachyrynchos_00129_5.wav,7
brachyrynchos_00129_6.wav,1
brachyrynchos_00129_7.wav,6
brachyrynchos_00129_8.wav,9
brachyrynchos_00129_9.wav,8
brachyrynchos_00130_1.wav,5
brachyrynchos_00131_1.wav,4
brachyrynchos_00132_1.wav,4
brachyrynchos_00133_1.wav,5
brachyrynchos_00133_2.wav,4
brachyrynchos_00135_1.wav,1
brachyrynchos_00135_2.wav,2
brachyrynchos_00135_3.wav,5
brachyrynchos_00136_1.wav,3
brachyrynchos_00136_2.wav,2
brachyrynchos_00136_3.wav,2
brachyrynchos_00136_4.wav,2
brachyrynchos_00136_5.wav,2
brachyrynchos_00136_6.wav,4
brachyrynchos_00137_1.wav,24
brachyrynchos_00137_2.wav,3
brachyrynchos_00137_3.wav,5
brachyrynchos_00137_4.wav,3
brachyrynchos_00137_5.wav,1
brachyrynchos_00138_1.wav,3
brachyrynchos_00140_1.wav,12
brachyrynchos_00140_2.wav,12
brachyrynchos_00140_3.wav,8
brachyrynchos_00141_1.wav,3
brachyrynchos_00141_2.wav,1
brachyrynchos_00141_3.wav,2
brachyrynchos_00141_4.wav,1
brachyrynchos_00141_5.wav,2
brachyrynchos_00141_6.wav,3
brachyrynchos_00143_1.wav,2
brachyrynchos_00143_2.wav,3
brachyrynchos_00144_1.wav,4
brachyrynchos_00145_1.wav,2
brachyrynchos_00146_1.wav,3
brachyrynchos_00146_2.wav,2
brachyrynchos_00146_3.wav,3
brachyrynchos_00146_4.wav,6
brachyrynchos_00146_5.wav,5
brachyrynchos_00147_1.wav,4
brachyrynchos_00148_1.wav,5
brachyrynchos_00149_1.wav,4
brachyrynchos_00150_1.wav,4
brachyrynchos_00150_2.wav,6
brachyrynchos_00150_3.wav,3
brachyrynchos_00151_1.wav,9
brachyrynchos_00151_2.wav,8
brachyrynchos_00151_3.wav,3
brachyrynchos_00152_1.wav,2
brachyrynchos_00154_1.wav,1
brachyrynchos_00154_2.wav,4
brachyrynchos_00155_1.wav,6
brachyrynchos_00155_2.wav,4
brachyrynchos_00155_3.wav,2
brachyrynchos_00155_4.wav,8
brachyrynchos_00155_5.wav,8
brachyrynchos_00155_6.wav,9
brachyrynchos_00155_7.wav,8
brachyrynchos_00155_8.wav,5
brachyrynchos_00156_1.wav,11
brachyrynchos_00156_2.wav,2
brachyrynchos_00156_3.wav,5
brachyrynchos_00156_4.wav,13
brachyrynchos_00157_1.wav,5
brachyrynchos_00158_1.wav,2
brachyrynchos_00158_2.wav,2
brachyrynchos_00158_3.wav,3
brachyrynchos_00158_4.wav,2
brachyrynchos_00158_5.wav,2
brachyrynchos_00158_6.wav,1
brachyrynchos_00159_1.wav,2
