Cluster,Call_Index,Probability
0,1,0.29633956386292837
0,2,0.18886292834890966
0,3,0.13551401869158877
0,4,0.07827102803738317
0,5,0.07320872274143302
0,6,0.0455607476635514
0,7,0.037383177570093455
0,8,0.023753894080996884
0,9,0.020638629283489095
0,10,0.015186915887850467
0,11,0.007009345794392523
0,12,0.008177570093457943
0,13,0.009345794392523364
0,14,0.005451713395638629
0,15,0.00661993769470405
0,16,0.006230529595015576
0,17,0.003894080996884735
0,18,0.003894080996884735
0,19,0.0027258566978193145
0,20,0.003894080996884735
0,21,0.0003894080996884735
0,22,0.0035046728971962616
0,23,0.000778816199376947
0,24,0.0027258566978193145
0,25,0.001557632398753894
0,26,0.000778816199376947
0,27,0.0019470404984423676
0,29,0.0003894080996884735
0,30,0.0011682242990654205
0,32,0.001557632398753894
0,33,0.0011682242990654205
0,34,0.000778816199376947
0,36,0.0003894080996884735
0,37,0.0003894080996884735
0,38,0.0003894080996884735
0,39,0.000778816199376947
0,40,0.000778816199376947
0,42,0.0003894080996884735
0,45,0.000778816199376947
0,47,0.000778816199376947
0,51,0.0003894080996884735
0,53,0.0003894080996884735
0,54,0.000778816199376947
0,56,0.001557632398753894
0,58,0.000778816199376947
0,62,0.0003894080996884735
0,66,0.000778816199376947
0,68,0.0003894080996884735
0,77,0.0003894080996884735
0,79,0.0003894080996884735
0,102,0.0003894080996884735
1,1,0.4262526464361327
1,2,0.155257586450247
1,3,0.11785462244177841
1,4,0.08892025405786874
1,5,0.05575158786167961
1,6,0.03387438249823571
1,7,0.02117148906139732
1,8,0.02117148906139732
1,9,0.01834862385321101
1,10,0.008468595624558928
1,11,0.004234297812279464
1,12,0.004940014114326041
1,13,0.004234297812279464
1,14,0.002117148906139732
1,15,0.0056457304163726185
1,16,0.004234297812279464
1,17,0.002117148906139732
1,18,0.0014114326040931546
1,19,0.002117148906139732
1,20,0.0007057163020465773
1,21,0.002117148906139732
1,22,0.0007057163020465773
1,23,0.0028228652081863093
1,24,0.0007057163020465773
1,25,0.0007057163020465773
1,28,0.002117148906139732
1,30,0.0014114326040931546
1,31,0.0014114326040931546
1,33,0.0014114326040931546
1,38,0.0007057163020465773
1,43,0.0014114326040931546
